restaurant,source_html,openrice_rank,openrice_district,openrice_cuisine_tags,openrice_smile,openrice_cry,openrice_bookmarks,openrice_url,google_extracted,google_name,google_rating,google_rating_out_of,google_review_count,google_category,google_price_range_text,google_hours_status,google_place_fid,google_not_found_reason,google_detected_source
Amalgamate,working/web/Amalgamate.html,14,銅鑼灣,西式,8,0,3K,https://www.openrice.com/zh/hongkong/r-amalgamate-%E9%8A%85%E9%91%BC%E7%81%A3-%E8%A5%BF%E5%BC%8F-r1126706/,1,Amalgamate,4.3,5,16,Restaurant,,,0x34040170840e89df:0xe06e24c6a6097e40,,
Daap,working/web/Daap.html,20,中環,多國菜,177,15,26K,https://www.openrice.com/zh/hongkong/r-daap-%E4%B8%AD%E7%92%B0-%E5%A4%9A%E5%9C%8B%E8%8F%9C-r743858/,1,Daap,3.9,5,279,Restaurant,,,0x340401b2e1b61d13:0x263f38751c129289,,
Dieci,working/web/Dieci.html,9,中環,意大利菜,5,0,11.6K,https://www.openrice.com/zh/hongkong/r-dieci-%E4%B8%AD%E7%92%B0-%E6%84%8F%E5%A4%A7%E5%88%A9%E8%8F%9C-r1107202/,1,DIECI Hong Kong,4.7,5,84,Italian restaurant,,,0x340401279e6dd973:0x9d38bd770c999a59,,
Double Black,working/web/Double Black.html,16,半山,西式 | All Day Breakfast,110,0,9K,https://www.openrice.com/zh/hongkong/r-double-black-%E5%8D%8A%E5%B1%B1-%E8%A5%BF%E5%BC%8F-all-day-breakfast-r791563/,1,Double Black,4.5,5,180,Coffee shop,$100–200,,0x340401116b7d01e7:0xb79ef6dc9378f257,,
GOLDEN GIP,working/web/GOLDEN GIP.html,25,中環,韓國菜,17,4,6K,https://www.openrice.com/zh/hongkong/r-golden-gip-%E4%B8%AD%E7%92%B0-%E9%9F%93%E5%9C%8B%E8%8F%9C-r893106/,1,GOLDEN GIP,4.2,5,70,Restaurant,,,0x340401bfedf8a10b:0xe5906565a88cb028,,
LOLA MARÍA,working/web/LOLA MARÍA.html,24,上環,西班牙菜,2,0,3K,https://www.openrice.com/zh/hongkong/r-lola-maria-%E4%B8%8A%E7%92%B0-%E8%A5%BF%E7%8F%AD%E7%89%99%E8%8F%9C-r1117338/,1,LOLA MARÍA,4.7,5,157,Spanish restaurant,,,0x340401c699d60319:0xae0b96525c7176e0,,
LPM Restaurant & Bar,working/web/LPM Restaurant _ Bar.html,13,中環,法國菜 | 酒,129,8,39K,https://www.openrice.com/zh/hongkong/r-lpm-restaurant-bar-%E4%B8%AD%E7%92%B0-%E6%B3%95%E5%9C%8B%E8%8F%9C-%E9%85%92-r665646/,1,La Petite Maison (LPM) Hong Kong,4.4,5,638,French restaurant,,,0x340401f40f2c7a39:0x7b691f09213614e4,,
LucAle,working/web/LucAle.html,22,西環,意大利菜 | 早午餐,1,0,3K,https://www.openrice.com/zh/hongkong/r-lucale-%E8%A5%BF%E7%92%B0-%E6%84%8F%E5%A4%A7%E5%88%A9%E8%8F%9C-%E6%97%A9%E5%8D%88%E9%A4%90-r1121883/,1,LucAle Tasting Italy,4.4,5,431,Italian restaurant,,Closed,0x3403ff3422467d7b:0x5695ea6ba4d7990d,,
Milu Thai มิลู่ไทย (亞士厘道),working/web/Milu Thai มิลู่ไทย (亞士厘道).html,2,尖沙咀,泰國菜,589,6,155.9K,https://www.openrice.com/zh/hongkong/r-milu-thai-%E0%B8%A1%E0%B8%B4%E0%B8%A5%E0%B8%B9%E0%B9%88%E0%B9%84%E0%B8%97%E0%B8%A2-%E5%B0%96%E6%B2%99%E5%92%80-%E6%B3%B0%E5%9C%8B%E8%8F%9C-r808150/,1,Milu Thai,4.6,5,460,泰國菜,$200–450,,,,
Milu Thai มิลู่ไทย (百樂中心),working/web/Milu Thai มิลู่ไทย (百樂中心).html,7,銅鑼灣,泰國菜 | 海鮮,1529,15,159.6K,https://www.openrice.com/zh/hongkong/r-milu-thai-%E0%B8%A1%E0%B8%B4%E0%B8%A5%E0%B8%B9%E0%B9%88%E0%B9%84%E0%B8%97%E0%B8%A2-%E9%8A%85%E9%91%BC%E7%81%A3-%E6%B3%B0%E5%9C%8B%E8%8F%9C-%E6%B5%B7%E9%AE%AE-r588815/,1,Milu Thai มิลู่ไทย (銅鑼灣),4.2,5,466,Thai restaurant,$200–400,,0x340401803b6b221b:0xaeb18cf6bee116c4,,
Tamarind,working/web/Tamarind.html,4,旺角,泰國菜,206,3,29.9K,https://www.openrice.com/zh/hongkong/r-tamarind-%E6%97%BA%E8%A7%92-%E6%B3%B0%E5%9C%8B%E8%8F%9C-r882252/,1,Tamarind,4.5,5,309,Thai restaurant,$100–150,,0x340401000d04d23d:0xb814a65d57b32c14,,
UURO (銅鑼灣廣場二期),working/web/UURO (銅鑼灣廣場二期).html,3,銅鑼灣,意大利菜 | 三文治,37,2,9K,https://www.openrice.com/zh/hongkong/r-uuro-%E9%8A%85%E9%91%BC%E7%81%A3-%E8%A5%BF%E5%BC%8F-all-day-breakfast-r1118756/,1,UURO (銅鑼灣廣場二期),3.9,5,128,Western restaurant,$100–150,,0x34040100594159a1:0xb35c20e2bdc09d43,,
Uncle Quek,working/web/Uncle Quek.html,29,中環,新加坡菜,7,1,6K,https://www.openrice.com/zh/hongkong/r-uncle-quek-%E4%B8%AD%E7%92%B0-%E6%96%B0%E5%8A%A0%E5%9D%A1%E8%8F%9C-r999408/,1,Uncle Quek,4.6,5,167,Southeast Asian restaurant,$150–300,,0x3404013b7244e661:0x8f55d809be61a50a,,
Vincenzo Capuano,working/web/Vincenzo Capuano.html,6,灣仔,意大利菜 | 薄餅,2,1,4K,https://www.openrice.com/zh/hongkong/r-vincenzo-capuano-%E7%81%A3%E4%BB%94-%E6%84%8F%E5%A4%A7%E5%88%A9%E8%8F%9C-%E8%96%84%E9%A4%85-r1127468/,1,Pizzeria Vincenzo Capuano Wan Chai,4.6,5,152,Pizza restaurant,$200–500,,0x3404012e748e6a25:0x878d4c2fdd34d8f5,,
合點壽司,working/web/合點壽司.html,18,銅鑼灣,日本菜 | 壽司/刺身,16,0,4K,https://www.openrice.com/zh/hongkong/r-%E5%90%88%E9%BB%9E%E5%A3%BD%E5%8F%B8-%E9%8A%85%E9%91%BC%E7%81%A3-%E6%97%A5%E6%9C%AC%E8%8F%9C-%E5%A3%BD%E5%8F%B8-%E5%88%BA%E8%BA%AB-r1124610/,1,合點壽司,4.3,5,116,Sushi restaurant,$150–250,,0x3404010076adcd39:0x88f82d2d3cb67c0d,,
嚴湧帛,working/web/嚴湧帛.html,5,中環,韓國菜,5,1,7K,https://www.openrice.com/zh/hongkong/r-%E5%9A%B4%E6%B9%A7%E5%B8%9B-%E4%B8%AD%E7%92%B0-%E9%9F%93%E5%9C%8B%E8%8F%9C-r1115430/,1,嚴湧帛,4.7,5,219,Korean restaurant,$100–350,,0x3404010055a51ed1:0x326c074f511e6bcc,,
囍八方 (差館上街),working/web/囍八方 (差館上街).html,27,上環,粵菜 (廣東) | 雲吞/餃子,111,3,9K,https://www.openrice.com/zh/hongkong/r-%E5%9B%8D%E5%85%AB%E6%96%B9-%E4%B8%8A%E7%92%B0-%E7%B2%B5%E8%8F%9C-%E5%BB%A3%E6%9D%B1-%E9%9B%B2%E5%90%9E-%E9%A4%83%E5%AD%90-r676570/,1,囍八方,4.3,5,215,Dumpling restaurant,$50–100,,0x3404012a5a727fc5:0x7cdbf24dbc6e421f,,
壽喜・關西,working/web/壽喜・關西.html,15,尖沙咀,日本菜 | 火鍋,208,3,16.9K,https://www.openrice.com/zh/hongkong/r-%E5%A3%BD%E5%96%9C%E3%83%BB%E9%97%9C%E8%A5%BF-%E5%B0%96%E6%B2%99%E5%92%80-%E6%97%A5%E6%9C%AC%E8%8F%9C-%E7%81%AB%E9%8D%8B-r890337/,1,Kansai One A5 Wagyu Sukiyaki,4.9,5,150,壽喜燒餐廳,$250–300,,,,
寧記,working/web/寧記.html,8,佐敦,泰國菜,5,1,4K,https://www.openrice.com/zh/hongkong/r-%E5%AF%A7%E8%A8%98-%E4%BD%90%E6%95%A6-%E6%B3%B0%E5%9C%8B%E8%8F%9C-r1125293/,1,Ning Kee 寧記豬腳飯,4.6,5,110,餐廳,$100–150,,,,
尚御潮滷居,working/web/尚御潮滷居.html,10,大角咀,潮州菜,45,4,27.9K,https://www.openrice.com/zh/hongkong/r-%E5%B0%9A%E5%BE%A1%E6%BD%AE%E6%BB%B7%E5%B1%85-%E5%A4%A7%E8%A7%92%E5%92%80-%E6%BD%AE%E5%B7%9E%E8%8F%9C-r543570/,1,尚御潮滷居,4.2,5,263,Restaurant,$150–350,,0x340400b9dceaac8d:0x8c10c6edf089828,,
