rank,name,district,cuisine_tags,smile,cry,bookmarks,url
1,燒烤堂,旺角,日本菜 | 燒烤,319,0,5K,https://www.openrice.com/zh/hongkong/r-%E7%87%92%E7%83%A4%E5%A0%82-%E6%97%BA%E8%A7%92-%E6%97%A5%E6%9C%AC%E8%8F%9C-%E7%87%92%E7%83%A4-r1002328/
2,本命鐵板燒,銅鑼灣,日本菜 | 鐵板燒,444,7,20.6K,https://www.openrice.com/zh/hongkong/r-%E6%9C%AC%E5%91%BD%E9%90%B5%E6%9D%BF%E7%87%92-%E9%8A%85%E9%91%BC%E7%81%A3-%E6%97%A5%E6%9C%AC%E8%8F%9C-%E9%90%B5%E6%9D%BF%E7%87%92-r792276/
3,京都勝牛 (AIRSIDE),九龍城,日本菜,348,15,8K,https://www.openrice.com/zh/hongkong/r-%E4%BA%AC%E9%83%BD%E5%8B%9D%E7%89%9B-%E4%B9%9D%E9%BE%8D%E5%9F%8E-%E6%97%A5%E6%9C%AC%E8%8F%9C-r816810/
4,Bouchon Bistro Francais,中環,法國菜,199,20,38.2K,https://www.openrice.com/zh/hongkong/r-bouchon-bistro-francais-%E4%B8%AD%E7%92%B0-%E6%B3%95%E5%9C%8B%E8%8F%9C-r50232/
5,人生有限杯.串燒店,銅鑼灣,日本菜 | 串燒,29,0,1K,https://www.openrice.com/zh/hongkong/r-%E4%BA%BA%E7%94%9F%E6%9C%89%E9%99%90%E6%9D%AF-%E4%B8%B2%E7%87%92%E5%BA%97-%E9%8A%85%E9%91%BC%E7%81%A3-%E6%97%A5%E6%9C%AC%E8%8F%9C-%E4%B8%B2%E7%87%92-r1126529/
6,Bochord,銅鑼灣,法國菜 | Fine Dining,692,13,53.9K,https://www.openrice.com/zh/hongkong/r-bochord-%E9%8A%85%E9%91%BC%E7%81%A3-%E6%B3%95%E5%9C%8B%E8%8F%9C-fine-dining-r824743/
7,人生有限杯.串燒店,旺角,港式 | 燒烤,357,2,13.4K,https://www.openrice.com/zh/hongkong/r-%E4%BA%BA%E7%94%9F%E6%9C%89%E9%99%90%E6%9D%AF-%E4%B8%B2%E7%87%92%E5%BA%97-%E6%97%BA%E8%A7%92-%E6%B8%AF%E5%BC%8F-%E7%87%92%E7%83%A4-r888038/
8,甜入心,灣仔,多國菜 | 甜品/糖水,64,0,8K,https://www.openrice.com/zh/hongkong/r-%E7%94%9C%E5%85%A5%E5%BF%83-%E7%81%A3%E4%BB%94-%E5%A4%9A%E5%9C%8B%E8%8F%9C-%E7%94%9C%E5%93%81-%E7%B3%96%E6%B0%B4-r1006134/
9,鮨政,上環,日本菜 | 壽司/刺身,492,9,16.2K,https://www.openrice.com/zh/hongkong/r-%E9%AE%A8%E6%94%BF-%E4%B8%8A%E7%92%B0-%E6%97%A5%E6%9C%AC%E8%8F%9C-%E5%A3%BD%E5%8F%B8-%E5%88%BA%E8%BA%AB-r536198/
10,Kopitiam By Saya,荃灣,泰國菜,262,3,12.6K,https://www.openrice.com/zh/hongkong/r-kopitiam-by-saya-%E8%8D%83%E7%81%A3-%E8%A5%BF%E5%BC%8F-r862815/
11,Ann Mamma Thai kitchen by 張秀玲,荃灣,泰國菜 | 咖喱,760,24,42.4K,https://www.openrice.com/zh/hongkong/r-ann-mamma-thai-kitchen-by-%E5%BC%B5%E7%A7%80%E7%8E%B2-%E8%8D%83%E7%81%A3-%E6%B3%B0%E5%9C%8B%E8%8F%9C-%E5%92%96%E5%96%B1-r636186/
12,Casa Cucina,銅鑼灣,意大利菜 | 早午餐,84,7,15.3K,https://www.openrice.com/zh/hongkong/r-casa-cucina-%E9%8A%85%E9%91%BC%E7%81%A3-%E6%84%8F%E5%A4%A7%E5%88%A9%E8%8F%9C-%E6%97%A9%E5%8D%88%E9%A4%90-r850796/
