rank,name,district,cuisine_tags,smile,cry,bookmarks,url
1,集眾菜館,太子,粵菜 (廣東),110,16,16.7K,https://www.openrice.com/zh/hongkong/r-%E9%9B%86%E7%9C%BE%E8%8F%9C%E9%A4%A8-%E5%A4%AA%E5%AD%90-%E7%B2%B5%E8%8F%9C-%E5%BB%A3%E6%9D%B1-r631804/
2,Milu Thai มิลู่ไทย (亞士厘道),尖沙咀,泰國菜,589,6,155.9K,https://www.openrice.com/zh/hongkong/r-milu-thai-%E0%B8%A1%E0%B8%B4%E0%B8%A5%E0%B8%B9%E0%B9%88%E0%B9%84%E0%B8%97%E0%B8%A2-%E5%B0%96%E6%B2%99%E5%92%80-%E6%B3%B0%E5%9C%8B%E8%8F%9C-r808150/
3,UURO (銅鑼灣廣場二期),銅鑼灣,"意大利菜 | 三文治",37,2,9K,https://www.openrice.com/zh/hongkong/r-uuro-%E9%8A%85%E9%91%BC%E7%81%A3-%E8%A5%BF%E5%BC%8F-all-day-breakfast-r1118756/
4,Tamarind,旺角,泰國菜,206,3,29.9K,https://www.openrice.com/zh/hongkong/r-tamarind-%E6%97%BA%E8%A7%92-%E6%B3%B0%E5%9C%8B%E8%8F%9C-r882252/
5,嚴湧帛,中環,韓國菜,5,1,7K,https://www.openrice.com/zh/hongkong/r-%E5%9A%B4%E6%B9%A7%E5%B8%9B-%E4%B8%AD%E7%92%B0-%E9%9F%93%E5%9C%8B%E8%8F%9C-r1115430/
6,Vincenzo Capuano,灣仔,"意大利菜 | 薄餅",2,1,4K,https://www.openrice.com/zh/hongkong/r-vincenzo-capuano-%E7%81%A3%E4%BB%94-%E6%84%8F%E5%A4%A7%E5%88%A9%E8%8F%9C-%E8%96%84%E9%A4%85-r1127468/
7,Milu Thai มิลู่ไทย (百樂中心),銅鑼灣,"泰國菜 | 海鮮",1529,15,159.6K,https://www.openrice.com/zh/hongkong/r-milu-thai-%E0%B8%A1%E0%B8%B4%E0%B8%A5%E0%B8%B9%E0%B9%88%E0%B9%84%E0%B8%97%E0%B8%A2-%E9%8A%85%E9%91%BC%E7%81%A3-%E6%B3%B0%E5%9C%8B%E8%8F%9C-%E6%B5%B7%E9%AE%AE-r588815/
8,寧記,佐敦,泰國菜,5,1,4K,https://www.openrice.com/zh/hongkong/r-%E5%AF%A7%E8%A8%98-%E4%BD%90%E6%95%A6-%E6%B3%B0%E5%9C%8B%E8%8F%9C-r1125293/
9,Dieci,中環,意大利菜,5,0,11.6K,https://www.openrice.com/zh/hongkong/r-dieci-%E4%B8%AD%E7%92%B0-%E6%84%8F%E5%A4%A7%E5%88%A9%E8%8F%9C-r1107202/
10,尚御潮滷居,大角咀,潮州菜,45,4,27.9K,https://www.openrice.com/zh/hongkong/r-%E5%B0%9A%E5%BE%A1%E6%BD%AE%E6%BB%B7%E5%B1%85-%E5%A4%A7%E8%A7%92%E5%92%80-%E6%BD%AE%E5%B7%9E%E8%8F%9C-r543570/
11,美人漁海鮮火鍋放題,銅鑼灣,"港式 | 火鍋",76,14,15.5K,https://www.openrice.com/zh/hongkong/r-%E7%BE%8E%E4%BA%BA%E6%BC%81%E6%B5%B7%E9%AE%AE%E7%81%AB%E9%8D%8B%E6%94%BE%E9%A1%8C-%E9%8A%85%E9%91%BC%E7%81%A3-%E6%B8%AF%E5%BC%8F-%E4%BB%BB%E9%A3%9F-%E6%94%BE%E9%A1%8C-r1031539/
12,食知味米線,太子,"滇菜 (雲南) | 粉麵/米線",3,1,4K,https://www.openrice.com/zh/hongkong/r-%E9%A3%9F%E7%9F%A5%E5%91%B3%E7%B1%B3%E7%B7%9A-%E5%A4%AA%E5%AD%90-%E6%BB%87%E8%8F%9C-%E9%9B%B2%E5%8D%97-%E7%B2%89%E9%BA%B5-%E7%B1%B3%E7%B7%9A-r900432/
13,LPM Restaurant & Bar,中環,"法國菜 | 酒",129,8,39K,https://www.openrice.com/zh/hongkong/r-lpm-restaurant-bar-%E4%B8%AD%E7%92%B0-%E6%B3%95%E5%9C%8B%E8%8F%9C-%E9%85%92-r665646/
14,Amalgamate,銅鑼灣,西式,8,0,3K,https://www.openrice.com/zh/hongkong/r-amalgamate-%E9%8A%85%E9%91%BC%E7%81%A3-%E8%A5%BF%E5%BC%8F-r1126706/
15,壽喜・關西,尖沙咀,"日本菜 | 火鍋",208,3,16.9K,https://www.openrice.com/zh/hongkong/r-%E5%A3%BD%E5%96%9C%E3%83%BB%E9%97%9C%E8%A5%BF-%E5%B0%96%E6%B2%99%E5%92%80-%E6%97%A5%E6%9C%AC%E8%8F%9C-%E7%81%AB%E9%8D%8B-r890337/
16,Double Black,半山,"西式 | All Day Breakfast",110,0,9K,https://www.openrice.com/zh/hongkong/r-double-black-%E5%8D%8A%E5%B1%B1-%E8%A5%BF%E5%BC%8F-all-day-breakfast-r791563/
17,米真鮮 (通菜街),旺角,"港式 | 粉麵/米線",73,5,9K,https://www.openrice.com/zh/hongkong/r-%E7%B1%B3%E7%9C%9F%E9%AE%AE-%E6%97%BA%E8%A7%92-%E6%B8%AF%E5%BC%8F-%E7%B2%89%E9%BA%B5-%E7%B1%B3%E7%B7%9A-r899259/
